Country Name,Country Code,Year,GDP_per_capita,Life_expectancy
Seychelles,SYC,2022,16836.6721895387,73.7024390243903
Syrian Arab Republic,SYR,2022,1051.67149587463,72.79
Turks and Caicos Islands,TCA,2022,31280.5418020808,77.918
Chad,TCD,2022,966.036468278568,54.528
Togo,TGO,2022,951.232378690387,62.29
Thailand,THA,2022,6909.35281815827,75.291
Tajikistan,TJK,2022,1052.17949484894,71.562
Turkmenistan,TKM,2022,5837.84224538947,69.913
Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,9174.55690452428,74.5684293540859
Timor-Leste,TLS,2022,2343.24954740187,67.368
Tonga,TON,2022,5298.01941509951,72.635
Trinidad and Tobago,TTO,2022,20750.5202434652,73.331
Tunisia,TUN,2022,3707.29283414381,76.05
Turkiye,TUR,2022,10897.8397861365,77.591
Tuvalu,TUV,2022,5911.32727055301,66.852
Tanzania,TZA,2022,1207.52062988281,66.879
Uganda,UGA,2022,963.067314117178,67.675
Ukraine,UKR,2022,4199.6708984375,72.658
Uruguay,URY,2022,20818.6146091144,76.468
United States,USA,2022,76657.2488844403,77.4341463414634
Uzbekistan,UZB,2022,2578.66689394219,72.147
St. Vincent and the Grenadines,VCT,2022,9693.55867833025,71.191
"Venezuela, RB",VEN,2022,3155.04207099687,72.566
Virgin Islands (U.S.),VIR,2022,44320.909185774,80.319512195122
Viet Nam,VNM,2022,4147.69777213621,74.502
Vanuatu,VUT,2022,3370.21191956953,71.302
Samoa,WSM,2022,4132.44717734444,71.55
Kosovo,XKX,2022,5290.95006509706,77.623
Zambia,ZMB,2022,1447.12310138035,65.279
Zimbabwe,ZWE,2022,2536.40050223076,62.36
